flag;this;depth;left;right;objects;volume
[DBG] ;0x1378880;0;0x13801f0;0x1380260;0;9.16843
[DBG] ;0x13801f0;1;0x1388670;0x13886e0;0;2.59336
[DBG] ;0x1388670;2;0x1388750;0x13887c0;0;1.13202
[DBG] ;0x1388750;3;0;0;6;0.482926
[DBG] ;0x13887c0;3;0;0;7;0.649095
[DBG] ;0x13886e0;2;0x1388830;0x13888a0;0;1.46134
[DBG] ;0x1388830;3;0x1388910;0x1388980;0;0.589898
[DBG] ;0x1388910;4;0x13889f0;0x1388a60;0;0.589898
[DBG] ;0x13889f0;5;0x1388ad0;0x1388b40;0;0.0623134
[DBG] ;0x1388ad0;6;0x1388bb0;0x1388c20;0;0.0623134
[DBG] ;0x1388bb0;7;0x1388c90;0x1388d00;0;0.0623134
[DBG] ;0x1388c90;8;0x1388d70;0x1388de0;0;0.0623134
[DBG] ;0x1388d70;9;0x1388e50;0x1388ec0;0;0.0623134
[DBG] ;0x1388e50;10;0x1388f30;0x1388fa0;0;0.0623134
[DBG] ;0x1388f30;11;0x1389010;0x1389080;0;0.0623134
[DBG] ;0x1389010;12;0x13890f0;0x1389160;0;0.0623134
[DBG] ;0x13890f0;13;0x13891d0;0x1389240;0;0.0623134
[DBG] ;0x13891d0;14;0x13892b0;0x1389320;0;0.0623134
[DBG] ;0x13892b0;15;0;0;37;0.0623134
[DBG] ;0x1389320;15;0;0;12;0
[DBG] ;0x1389240;14;0x1389390;0x1389400;0;0
[DBG] ;0x1389390;15;0;0;17;0
[DBG] ;0x1389400;15;0;0;16;0
[DBG] ;0x1389160;13;0;0;3;0
[DBG] ;0x1389080;12;0x1389470;0x13894e0;0;0
[DBG] ;0x1389470;13;0;0;7;0
[DBG] ;0x13894e0;13;0;0;7;0
[DBG] ;0x1388fa0;11;0x1389550;0x13895c0;0;0
[DBG] ;0x1389550;12;0x1389630;0x13896a0;0;0
[DBG] ;0x1389630;13;0x1389710;0x1389780;0;0
[DBG] ;0x1389710;14;0x13897f0;0x1389860;0;0.103991
[DBG] ;0x13897f0;15;0;0;16;0.103991
[DBG] ;0x1389860;15;0;0;9;0
[DBG] ;0x1389780;14;0;0;4;-0.103991
[DBG] ;0x13896a0;13;0;0;1;0
[DBG] ;0x13895c0;12;0x13898d0;0x1389940;0;0
[DBG] ;0x13898d0;13;0;0;9;0
[DBG] ;0x1389940;13;0;0;9;0
[DBG] ;0x1388ec0;10;0;0;3;0
[DBG] ;0x1388de0;9;0x13899b0;0x1389a20;0;0
[DBG] ;0x13899b0;10;0;0;7;0
[DBG] ;0x1389a20;10;0;0;7;0
[DBG] ;0x1388d00;8;0x1389a90;0x1389b00;0;0
[DBG] ;0x1389a90;9;0x1389b70;0x1389be0;0;0
[DBG] ;0x1389b70;10;0x1389c50;0x1389cc0;0;0
[DBG] ;0x1389c50;11;0x1389d30;0x1389da0;0;0.103991
[DBG] ;0x1389d30;12;0x1389e10;0x1389e80;0;0.103991
